NC,sentence_nat_1,tag_sentence_nat_1,sentence_nat_2,tag_sentence_nat_2,sentence_nat_3,tag_sentence_nat_3,comp_score,gold_syn_1,gold_syn_2,gold_syn_3,sentence_neut,tag_sentence_neut,word_1,word_x,word_2,wordsyn
testa di legno,""" o anche "" Il sindaco invisibile di Firenze "" o "" Renzie , la nuova testa di legno della finanza italiana , da De Benedetti agli Agnelli "" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",Comprano il marchio lasciando il vecchio gestore come testa di legno o inserendo un familiare fidato per schermare la propriet  .,"[False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]","Da una parte della testa c ' era una treccina gialla , ma al posto dell ' altra treccina c ' era un posto vuoto , come se i capelli fossero stati strappati dalla testa di legno .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,prestanome,figura di facciata,persona ignorante,Questa è una testa di legno.,"[False, False, False, True, True, True]",cranio,di,legname,cranio di legname
anno accademico,Sono solo alcune delle novità dell' anno accademico 2007-2008 dell'Università degli adulti della Media Vallesina.,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]","All'alba del nuovo anno accademico riprendono le attività curricolari e non: nei collegi, teatro di eventi che ampliano e incrementano l'offerta formativa, i percorsi di approfondimento prendono il via con due incontri al collegio Augustinianum.","[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Il modello con i suoi allegati dovrà essere presentato nel periodo compreso tra la scadenza della prima rata di tasse per l'iscrizione all' anno accademico e il 20 dicembre.,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",,periodo universitario,sessione di studi,ciclo d'istruzione superiore,Questo è un anno accademico.,"[False, False, False, True, True]",annualità,,universitaria,annualità universitaria
ore piccole,"Io soffro come un cane la domenica mattina , a messa , quando vedo nel coro i giovani cantori , e i primi banchi gremiti di ragazzi che animano la liturgia , mentre i miei due dormono ancora perché hanno fatto le ore piccole .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",Dall ' 8 Maggio 99 sarà possibile migrare da qualsiasi tariffa prepagata attuale a TIM MENÙ gratuitamente TIM ha dichiarato che la tariffa notturna ( ore piccole ) è stata eliminata in quanto solo il 4 % dei clienti usa il cellulare nelle ore notturne .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","La guerra non sembra aver nemmeno sfiorato questo sito , che continua a presentare come sempre gli eventi culturali della capitale e a svolgere il suo ruolo di guida turistica , tra orchestrine jazz e caffè dove fare le ore piccole .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,dormire poco,ore notturne,veglia prolungata,Queste sono ore piccole.,"[False, False, True, True]",tempi,,minuscoli,tempi minuscoli
sogni d'oro,Dormi bene e sogni d ' oro .,"[False, False, False, True, False, False, True, False]",Amici e parenti fanno la fila per augurare sogni d'oro al piccolino .,"[False, False, False, False, False, False, False, False, True, True, False, False, False]","Con tutto il rispetto , e cavando un mezzo sorriso dalle disgrazie , possiamo dire che Isi Kostner e Morena Gallizio , dopo tanti sogni d'oro , hanno vinto due medaglie di latta .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False]",,buonanotte,sonno sereno,riposo tranquillo,Questo è un sogni d'oro.,"[False, False, False, True, True]",sonni,di,metallo prezioso,sonni di metallo prezioso
passo carrabile,"È altresì importante specificare il tipo di infrazione, ad esempio se l'auto era parcheggiata in corrispondenza o in prossimità di un passaggio a livello, oppure allo sbocco di un passo carrabile , oppure nella corsia o carreggiata riservata ai mezzi pubblici, ecc.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]",Il titolare dell'autorizzazione è tenuto ad esporre il suddetto segnale con l'indicazione del numero di passo carrabile risultante dal provvedimento.,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]",Per costruire un passo carrabile bisogna rivolgersi al Servizio Strade.,"[False, False, False, True, True, False, False, False, False, False]",,accesso veicolare,divieto di sosta,entrata per auto,Questo è un passo carrabile.,"[False, False, False, True, True]",andatura,,viabile,andatura viabile
eminenza grigia,"Era un fine diplomatico , un uomo dall ' intelligenza fredda e acuta , che pian piano , da semplice consigliere del re , si era trasformato in una vera e propria eminenza grigia del regno .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]","È poi da valutare nel Pd l ' affermazione dei bassoliniani : Marciano , Gabriele , Amato , Cortese e D ' Amelio dimostrano che l ' ex governatore è ancora l ' eminenza grigia del Pd campano .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]","So tutto » , commenta il segretario Pierluigi Bersani , replicando a Favia che aveva detto chei leader nazionali non capivano che dietro Grillo c ' era l ' eminenza grigia .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,consigliere occulto,potere dietro le quinte,persona influente,Questa è una eminenza grigia.,"[False, False, False, True, True]",eccellenza,,cinerea,eccellenza cinerea
pezzo forte,Uno è il pezzo forte dell ' accusa che dimostrerebbe gli intensi rapporti di amicizia fra Contrada e Cassina .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Così può capitare che il calorifero , un tempo occultato con mille stratagemmi , si trasformi nel pezzo forte del salotto di casa , o che venga utilizzato addirittura come pannello decorativo .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Il "" pezzo forte "" è il lavandino disegnato da Philippe Starck , che ricorda le toilette di un tempo : una semplice bacinella posata su un piano , entrambi in ceramica bianca , sostenuti da piedi in metallo cromato ( Duravit , L .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,punto di forza,clou,specialità,Questo è un pezzo forte.,"[False, False, False, True, True]",frammento,,robusto,frammento robusto
capro espiatorio,"Molto probabilmente il Gherardi è vittima dei fascisti , il suo caso deve aver terrorizzato il vostro Consiglio , che avrà ritenuto necessario offrire un capro espiatorio al Dio del giorno .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","Questa confessione era pronunciata mentre Aaronne poneva le sue mani sulla testa di un capro , chiamato capro espiatorio .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",È ingiusto usare un gruppo di adolescenti curiosi come capro espiatorio per le pratiche illecite condotte dalle imprese stesse .,"[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False]",,vittima sacrificale,colpevole di comodo,bersaglio,Questo è un capro espiatorio.,"[False, False, False, True, True]",becco,,scontatore,becco scontatore
barca di soldi,"E perché io devo dare allo stato una barca di soldi che automaticamente mi vengono detratti dalla busta paga , e devo pagare settantamilalire alla settimana per le mie pilloline fascia C ?","[False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",A Padova la giunta sx di Zanonato ha speso una barca di soldi ( dei contribuenti ) per istallare dei varchi elettronici al centro storico .,"[False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","Continuerà ad avere il suo TG personale, Continuerà a guadagnare una barca di soldi e ... Tutte le multe e le penali le paga lo Stato","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",,fortuna economica,mucchio di denaro,patrimonio ingente,Questa è una barca di soldi.,"[False, False, False, True, True, True]",imbarcazione,di,denaro,imbarcazione di denaro
chiodo fisso,"Lei ha detto più volte , in questi ultimi mesi , che « i cambiamenti di cui ha bisogno la scuola italiana debbono diventare il chiodo fisso del governo » .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]","A questa cura , a questa attenzione per il funzionamento e per i risultati del nostro nuovo sistema di formazione e istruzione intendevo riferirmi , affermando che i cambiamenti di cui ha bisogno la scuola italiana debbono diventare un chiodo fisso per Governo e Parlamento .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]","Varianti del chiodo fisso sono il sesso solo fantasticato , più o meno associato a riti guardoni , esibizionistici , via via degenerando .","[False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,ossessione,idea ricorrente,monomania,Questo è un chiodo fisso.,"[False, False, False, True, True]",bulletta,,immobile,bulletta immobile
strada statale,"L'Idrovora Santa Margerita si raggiunge dal Veneziano percorrendo la strada statale 309 Romea, in direzione di Chioggia-Ravenna.","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Sarebbe stato raggiunto un accordo tra Anas ed Rfi sui lavori da effettuare lungo la strada statale .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",La corsia si innesterà infine sulla strada statale della Valsugana attraverso una pista di accelerazione lunga circa 70 metri.,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]",,arteria stradale,collegamento nazionale,viabilità ordinaria,Questa è una strada statale.,"[False, False, False, True, True]",carreggiata,,nazionale,carreggiata nazionale
notte dei cristalli,"Gli echi e le scene della "" Notte dei cristalli "" ( 9 novembre 1938 ) , quando i nazisti incendiarono le sinagoghe e compirono atti di terrorismo contro gli ebrei , lo accompagnavano tormentandolo .","[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Risultato : anche gli ebrei si chiudono nel branco , vivono la sindrome del complotto globale , parlano già di emigrare o rievocano la Notte dei cristalli , come fosse tornato il nazismo .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False]","Se a Berlino vi fu la Notte dei Cristalli con la distruzione dei negozi degli ebrei , ad Atene , notte dopo notte , non si fa distinzione tra le diverse etnie di immigrati .","[False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,pogrom nazista,evento del 1938,strage antisemita,Questa è una notte dei cristalli.,"[False, False, False, True, True, True]",buio,dei,vetri,buio dei vetri
guida turistica,"La pittura si fa donna"" all'interno della Galleria degli Uffizi, a cura della guida turistica Maria Paola Migliosi, presidente di Confguide nazionale.","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]",Se hai bisogno di una guida turistica per accompagnare gruppi/pullman in uno degli itinerari proposti compila il form seguente e verrai contattato al più presto.,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Inoltre, salutare i clienti e scambiarci due parole non mi pesa per niente, anzi mi fa molto piacere raccontare di me e fare la guida turistica , oltre che subacquea.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",,accompagnatore,manuale di viaggio,cicerone,Questa è una guida turistica.,"[False, False, False, True, True]",conducente,,vacanziero,conducente vacanziero
sorella gemella,"Un ruolo importante nell'infanzia della piccola fu rivestito dalla sorella gemella della madre, Thelma, che fu amante del Principe di Galles.","[False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False]","Accanto e dentro di lei, un fantasma che sembra perseguitarla, quello della sorella gemella Caroline.","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",Martin aiuta Jake a riunire una donna francese con la sorella gemella e la loro madre biologica.,"[False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False]",,identica,sosia,gemine,Questa è una sorella gemella.,"[False, False, False, True, True]",germana,,duplicata,germana duplicata
rifiuti radioattivi,"I contatti della Odm, che si occupava di ""inabissamento in mare di rifiuti radioattivi "", arrivavano fino ai Paesi dell'Est Europa.","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]","Realizzare barriere in calcestruzzo con cui isolare in modo affidabile e sicuro dall'ambiente esterno i rifiuti radioattivi a vita breve, e per tutto il tempo necessario al loro decadimento, non presenta quindi problemi tecnici particolari né dal punto di vista dei materiali né tanto meno da quello dell'ingegneria costruttiva.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ad ottobre, il Governo prende la delega e inizia a lavorare su un testo normativo per la protezione dalle sorgenti ionizzanti e dai rifiuti radioattivi .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",,scorie,residui,materiale pericoloso,Questi sono rifiuti radioattivi.,"[False, False, True, True]",scarti,,radiogeni,scarti radiogeni
palla al piede,"E ' opinione diffusa che i pensionati siano una "" palla al piede "" per i giovani e un intralcio allo sviluppo economico .","[False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]","Fino a quando le autorità cinesi non risolveranno le limitazioni politiche e sociali che gravano su Internet , la marcia verso l ' era tecnologica procederà con una palla al piede .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","Nei primi 45 ' nessun tiro in porta , nessuna azione da Chievo e un Brescia decisamente superiore , diretto da un Baggio sempre delizioso palla al piede .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,fardello,ostacolo,impedimento,Questa è una palla al piede.,"[False, False, False, True, True, True]",sfera,alla,piota,sfera alla piota
motore a scoppio,"Con l'invenzione del motore a scoppio di Daimler, basato anche su quello brevettato dagli italiani Barsanti e Matteucci, i dirigibili cominciarono finalmente ad essere tali, potendo contare su un migliore rapporto tra peso e potenza dei motori installati.","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",I tagliaerba con motore a scoppio sono particolarmente adatti per giardini di grandi dimensioni.,"[False, False, False, True, True, True, False, False, False, False, False, False, False, False]","E' in queste fasi, infatti, che è massima la richiesta di coppia motrice, ed in queste circostanze il motore a scoppio mostra i suoi limiti, che consistono in una combustione cattiva, fumosità, consumo elevatissimo.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",,motore termico,propulsore a combustione,motore endotermico,Questo è un motore a scoppio.,"[False, False, False, True, True, True]",propulsore,a,detonazione,propulsore a detonazione
vaso di pandora,Dolls e della meteora Jobriath aprì il vaso di Pandora sulla profonda corruzione dello star - system negli anni Settanta .,"[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False]","La guerra è stato un grosso errore proprio perché ha aperto un nuovo "" vaso di Pandora "" , la gestione del dopoguerra è stata sinora disastrosa , non ho mai creduto all ' ingegneria sociale di Bush .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Quando esso venne cavato , un impercettibile cigolio di sughero accompagnò la sua levata , liberando nell ' aria , come Vaso di Pandora , i molteplici venti delle nostre coscienze .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False]",,origine dei mali,fonte di guai,scandalo,Questo è un vaso di pandora.,"[False, False, False, True, True, True]",contenitore,di,figura mitologica,contenitore di figura mitologica
uovo di colombo,"La minestra riscaldata , ovvero il multifibre Più che uovo di Colombo , direi che ci troviamo di fronte ad una minestra riscaldata , poiché non c ' è molto di originale nella proposta Stagnaro - Boccadutri .","[False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","L ' uovo di Colombo A scatenare la fantasia ci hanno pensato quelli della Procom , il "" provider senza POP "" .","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","A prima vista , sembra che si tratti dell ' uovo di Colombo per far crescere il numero , ancora ridotto , degli utenti Internet italiani .","[False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,soluzione semplice,trovata geniale,trucco intuitivo,Questo è un uovo di colombo.,"[False, False, False, True, True, True]",ovulo,di,navigatore,ovulo di navigatore
struttura ossea,La cintura va posizionata comodamente sul torace e sulla zona delle anche in modo che in caso di incidente l'urto venga distribuito sulla struttura ossea del corpo.,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False]","Il bacino è la struttura ossea che si trova sopra le gambe ed aiuta a camminare, correre e mantenere una buona postura oltre che essere ben allineato e posizionato in modo che sia parallelo alle spalle e al terreno.","[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Finalità didattica del laboratorio: stimolare l'osservazione e, attraverso sussidi didattici, la comprensione delle trasformazioni della struttura ossea degli animali dalla preistoria ai nostri giorni.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False]",,scheletro,apparato scheletrico,impalcatura corporea,Questa è una struttura ossea.,"[False, False, False, True, True]",impalcatura,,scheletrica,impalcatura scheletrica
parco buoi,Si dice che i grandi centri della speculazione finanziaria abbiano il massimo interesse a fare dell ' umanità un solo immenso parco buoi ... Lei sta parlando con un convinto avversario della mondializzazione intesa in quel senso .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Le banche italiane ed estere lo finanziarono fino a fargli toccare la quota record di 14 miliardi di euro , per poi provare a scaricare il debito sul parco buoi dei risparmiatori , convinti di acquistare i bond di un ' azienda fondamentalmente sana "" .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","In questi giorni , con la Borsa di Milano che svolta dalla disperazione all ' euforia e viceversa , intere fortune passano di mano e l ' erba dei piccoli azionisti , il parco buoi , è sempre meno verde .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False]",,piccoli risparmiatori,investitori ingenui,massa sacrificata,Questo è un parco buoi.,"[False, False, False, True, True]",giardino,,mandria,giardino mandria
punto cieco,"All'interno del campo visivo esiste una zona, chiamata punto cieco , che non viene percepita spontaneamente; tale area corrisponde alla pupilla, piccolo disco vicino alla macula (dal lato del naso), punto di partenza del nervo ottico sprovvisto di cellule sensoriali.","[False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",In il cervello riempie questo punto cieco con qualche buona ipotesi.,"[False, False, False, False, False, True, True, False, False, False, False]",I sintomi di questa infiammazione includono perdita della vista che può variare da un piccolo punto cieco alla cecità totale.,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]",,angolo morto,zona d'ombra,zona non visibile,Questo è un punto cieco.,"[False, False, False, True, True]",luogo,,non vedente,luogo non vedente
fulmine di guerra,"A spingerla è un motore di 2,4 litri a doppia alimentazione benzina / Gpl di derivazione Mitsubishi , solido ma non esattamente un ipertecnologico fulmine di guerra .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","A sentir certi commentatori , parrebbe che la Germania sia un fulmine di guerra , con tassi di crescita comparabili a quelli delle economie emergenti alle quali dovrebbe la propria prosperità .","[False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ma perse il suo tempo , ché anzi , per tutte le volte che fece delle supposizioni , credettero prevedesse il futuro , sgranarono gli occhi , si stesero a terra adorandolo quasi fosse un dio oltre che un fulmine di guerra .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",,persona geniale,eroe impetuoso,individuo brillante,Questo è un fulmine di guerra.,"[False, False, False, True, True, True]",saetta,di,conflitto,saetta di conflitto
lacrime di coccodrillo,"Le famose lacrime di coccodrillo , considerate segno di tardivo pentimento , sono in realtà una necessità naturale al fine della sopravvivenza .","[False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Secondo , la maggioranza starebbe versando lacrime di coccodrillo al funerale del Filadelfia : Come mai giovedì sera siamo riusciti a chiudere il bilancio in tempo utile nonostante ci fossero ben 560 emendamenti ?","[False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Non aveva mai realizzato quale fosse l ' importanza delle lacrime di coccodrillo fino al momento in cui la strizzacervelli filippina non gli aveva imposto di pagare il conto del ristorante cinese su tre livelli "" La Pagoda Contrita "" .","[False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,falso pentimento,dolore simulato,finto dispiacere,Queste sono lacrime di coccodrillo.,"[False, False, True, True, True]",pianto,di,rettile,pianto di rettile
acqua in bocca,"Quindi mi raccomando , acqua in bocca "" , rispose Collins ed estrasse da uno zainetto di gomma un astuccio di plastica .","[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Ma durante la presentazione in diretta tv , al Mazda Palace di Milano , acqua in bocca sul tema doping .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False]",""" Acqua in bocca con le forze del disordine "" ha sussurrato , poi ha aperto l ' armadio , e dentro , stipate sugli scaffali , c ' erano tre borse da tennista .","[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,segreto,silenzio,non dire nulla,Questa è una acqua in bocca.,"[False, False, False, True, True, True]",liquido,in,cavo orale,liquido in cavo orale
divisa di rappresentanza,Si precisa che gli orari indicati sono quelli di effettiva chiusura degli accessi pertanto i volontari dovranno essere sul posto loro assegnato con adeguato anticipo e con la divisa di rappresentanza .,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","Per quanto riguarda il kit sportivo le giovanili dell'Ascoli si avvarrano di capi dello sponsor tecnico Nike e quindi tutti i ragazzi indosseranno materiale Nike per l'allenamento, per le gare e per la divisa di rappresentanza durante i trasferimenti sui campi di allenamento e di gara.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False]","Solo il Delegato Francesca Provenzi sfoggia stoicamente la divisa di rappresentanza , sfidando le temperature proibitive di una caldissima serata di fine luglio.","[False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",,uniforme formale,abito istituzionale,tenuta d'ordinanza,Questa è una divisa di rappresentanza.,"[False, False, False, True, True, True]",uniforme,di,delega,uniforme di delega
messa in piega,"Dopo pochi minuti Marta è pronta, capelli ancora un po' umidi, qui in Olanda la messa in piega è a parte nel prezzo, così come il lavaggio.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]","Non esagerare con i prodotti per la messa in piega , che tendono a seccare lo scalpo.","[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False]","Analogamente, la parrucchiera ha scelto di farmi portare una parrucca poiché all'epoca si ricorreva molto di frequente alla messa in piega e alla lacca che impediva ai capelli il minimo movimento.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False]",,acconciatura,pettinatura,piega,Questa è una messa in piega.,"[False, False, False, True, True, True]",sistemazione,in,curvatura,sistemazione in curvatura
zucchero a velo,"Una volta fredda, sformatela e guarnite la torta senza uova con una spolverata di zucchero a velo .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]","Impastate tutti gli ingredienti, tranne olio e zucchero a velo , e lavorate la pasta per almeno 10 minuti.","[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False]","La decorazione di una torta è ormai considerata una vera e propria arte in tutto il mondo grazie all'utilizzo di zucchero a velo , glassa o fondente e altri elementi decorativi che rendono, infatti, le torte dei veri capolavori.","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,zucchero in polvere,zucchero fine,zucchero impalpabile,Questo è uno zucchero a velo.,"[False, False, False, True, True, True]",glucide,a,tulle,glucide a tulle
cavallo di razza,"Ma se i booster sono stati i muli , il motore Vulcain ha avuto il ruolo del cavallo di razza : funzionando per dieci minuti e fornendo 130 tonnellate di spinta alla potenza massima , ha divorato 25 tonnellate di idrogeno e 130 di ossigeno liquidi .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Tirane fuori un cavallo di razza , entro tre mesi , e io ti porto a mangiare Dal Tartufaio .","[False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","Anche se questa non è un ' offerta che scalda il cuore di Urbano Cairo , che per il suo cavallo di razza ne chiede almeno venti , né tanto meno quello del giocatore , che vuole giocare la Champions in caso di trasloco .","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,campione,talento puro,fuoriclasse,Questo è un cavallo di razza.,"[False, False, False, True, True, True]",destriero,di,ceppo,destriero di ceppo
